지점,일시,평균기온(°C),최저기온(°C),최고기온(°C),강수 계속시간(hr),일강수량(mm),최대 순간 풍속(m/s),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조 시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사(MJ/m2),일 최심신적설(cm),일 최심적설(cm),평균 지면온도(°C),최저 초상온도(°C)
119,2017-01-01,2.9,-2.8,8.2,,,3.6,2.4,160,1314,0.7,0.5,67,1512,85.8,6.4,1023.7,1031.2,936,1025,2312,1028.1,9.7,2.1,1200,0.89,4.55,,,-0.1,-4.7
119,2017-01-02,5.2,2.7,10.3,1.42,0.6,6.4,4,270,1314,1.6,3,63,1359,86.4,7.6,1018.6,1025.3,1,1021.1,1429,1022.9,9.7,3.3,1300,1.18,4.94,,,2.2,0.4
119,2017-01-03,1.8,-2.9,8.5,,,5.3,3.4,270,1504,1.2,-2.5,43,1424,75.5,5.1,1020.3,1026.3,823,1023.2,1619,1024.6,9.7,8.6,1200,1.32,7.83,,,0.9,-4.9
119,2017-01-04,3.6,-1.2,10.9,,,5.9,4.3,250,1554,1.2,-0.8,31,1332,75.6,5.8,1019.9,1025.6,2400,1022.7,1422,1024.2,9.7,7.9,1200,1.38,7.67,,,1.4,-3.4
119,2017-01-05,4.3,-1.7,8.3,,,8.2,5.1,110,2256,2,-2.2,47,1102,65.1,5.2,1022.9,1028.7,2244,1025.5,2,1027.2,9.7,0,1200,0.71,3.8,,,1.9,-3.6
119,2017-01-06,5.8,0.6,11.4,,,6.9,4.6,110,44,2.2,-0.7,47,1246,64.8,5.8,1022.5,1028.9,904,1024.9,1611,1026.8,9.7,7,1200,1.33,7.25,,,3.2,-2.2
119,2017-01-07,3.5,-1.6,10.7,,,3.5,2.4,110,1017,0.6,0.3,47,1408,82.1,6.2,1017.4,1025.1,1,1018.7,1907,1021.6,9.7,6.7,1100,1.2,6.62,,,1.9,-4.2
119,2017-01-08,7.1,2.3,11.9,0.33,0,5.7,3.7,270,2014,1.7,0.1,43,1348,62.4,6.2,1010.3,1019.7,3,1012,1700,1014.5,9.8,3,1100,1.38,5.5,,,4.1,0.2
119,2017-01-09,2.4,-2.1,6,2.17,0.2,7.3,4.9,270,1449,2.6,-3.4,46,1421,66.9,5,1013.5,1021.1,2356,1013.4,5,1017.7,9.8,6,1300,1.38,6.45,,,3.3,-3.3
119,2017-01-10,-2,-6,3.1,2.5,0,8.4,5.6,290,1557,2.5,-11.3,33,1543,49.5,2.7,1020,1028,2338,1020.9,10,1024.4,9.8,8.6,1400,1.12,7.29,,,-0.4,-7.1
119,2017-01-11,-3.2,-8.8,2.7,,,8.3,4.9,290,1538,1.7,-13.5,29,1017,45,2.2,1021.4,1028.9,206,1023.1,2348,1025.9,9.8,8,1200,1.39,7.51,,,-1.6,-10
119,2017-01-12,-1,-4.8,3,8.83,1.9,9.2,5.5,290,1526,2,-9.2,28,1515,59.9,3.4,1014.4,1023.1,1,1016.7,1422,1018.7,9.8,7.4,1200,1.23,6.04,5.2,5.2,-0.3,-6.1
119,2017-01-13,-5.1,-7.5,0,1.58,0.4,10,6.2,270,1531,2.3,-13.3,37,933,53.5,2.3,1013.8,1021.8,2343,1015.4,1401,1018.2,9.8,5.9,1300,1.46,6.57,0.5,0.5,-0.7,-9.3
119,2017-01-14,-7.1,-8.8,-3.7,,,11.6,6.4,320,1509,4,-20.4,22,1449,35.1,1.2,1021.7,1029,2350,1021.5,33,1026.2,9.9,9.3,1200,1.67,9.82,,,-1.9,-9.4
119,2017-01-15,-5.8,-10.6,0,,,5.6,3.7,250,1617,1.8,-16.6,25,1329,43.4,1.7,1024.1,1030.9,806,1026.9,1455,1028.6,9.9,9.5,1200,1.64,9.72,,,-3.1,-12
119,2017-01-16,-4.5,-11.1,3,,,4.2,2.8,270,1753,0.8,-12.9,22,1516,56.1,2.3,1025.5,1031.9,2338,1027.2,14,1029.9,9.9,9.4,1200,1.6,9.45,,,-3.4,-12.5
119,2017-01-17,-2.6,-9,4.4,,,4.1,2.8,250,1415,0.7,-9.3,27,1345,64.1,3.1,1027.5,1033,942,1030.5,1623,1031.9,9.9,7,1200,1.53,7.52,,,-2.7,-10.7
119,2017-01-18,-1.1,-4.8,3.7,0.5,0,3.5,2.5,270,1431,0.8,-4,56,1219,81.8,4.6,1026.3,1032.8,227,1028.9,1402,1030.7,10,2.6,1100,1.06,4.67,,,-1.4,-7.1
119,2017-01-19,-2,-6.8,4.9,,,6.2,3.8,270,1639,1,-6.9,30,1426,73.1,3.7,1019.6,1029.6,1,1018.5,2400,1024,10,7.2,1200,1.51,7.21,,,-1.9,-9.2
119,2017-01-20,-3.7,-7.4,-0.8,7.4,3.9,9.3,5.8,290,1228,2.6,-7.8,52,1503,74.9,3.5,1018.2,1029.7,2356,1015,425,1022.6,10,6.5,1300,1.44,6.96,7.1,7.1,-0.7,-10.1
119,2017-01-21,-4.9,-11.2,-1.1,5.3,1.8,9.9,6.7,270,2400,1.3,-6.7,65,1,87.6,3.8,1022.4,1030.8,814,1022.6,2311,1026.8,10,2.1,1200,1.16,5.3,2.9,4.7,-1.1,-12.6
119,2017-01-22,-7.1,-10.1,-2.1,0.45,0.1,10.2,6.8,290,2,3.2,-14.9,46,1141,53.5,1.9,1023.7,1030.3,2338,1023.1,1,1028.2,10.1,9.1,1200,1.72,10.12,0,4.7,-1,-11.6
119,2017-01-23,-8,-11.5,-3.2,,,5.9,3.6,340,1115,1.8,-15.9,35,1141,53.6,1.8,1027.5,1033.4,2308,1030,431,1032,10.1,9.6,1200,1.68,10.22,,2.1,-1.8,-13.8
119,2017-01-24,-6.8,-13.6,-0.3,,,5.2,3.5,250,1618,1.4,-13.7,29,1251,60.8,2.2,1030.4,1035.9,1028,1033.2,53,1034.9,10.1,9.7,1200,1.72,10.5,,1,-2.3,-15.7
119,2017-01-25,-5.7,-12.6,2.4,,,5.6,3.5,270,1628,1,-11.5,31,1502,67.8,2.6,1030.4,1037.2,1045,1033.1,1735,1034.9,10.2,9.7,1200,1.66,10.74,,1,-2.4,-15.4
119,2017-01-26,-1.7,-10,3.5,0.33,0,6.6,3.9,200,2259,1.5,-5.9,49,1137,74.6,4.1,1023,1034.2,1,1019.7,2357,1027.4,10.2,6.5,1100,1.39,8.13,,0.3,-1.8,-12
119,2017-01-27,-1.7,-5.8,3.9,2.5,3.5,10.1,6.4,290,321,3.1,-10.6,32,1227,52.6,2.9,1023.4,1031,2344,1018,102,1027.8,10.2,9.4,1200,1.76,10.72,,,-0.1,-7
119,2017-01-28,-1.3,-9,5.1,,,5.3,3.4,110,1520,1,-11.7,24,1651,47.9,2.5,1022.7,1031.7,119,1023.1,2358,1027,10.2,6.5,1100,1.54,8.37,,,-1.3,-9.6
119,2017-01-29,1.3,-0.2,3,13.52,7,5.6,3.3,320,2357,0.9,-3,41,503,76.6,5.1,1014.7,1023.1,1,1016.2,1553,1019,10.3,0,1200,0.28,1.31,1.1,1.1,-0.1,-0.1
119,2017-01-30,-3.9,-7.4,-0.2,2.12,0,8.2,5.1,270,411,2.9,-9.8,46,1543,64.5,3,1021.4,1031.2,2335,1018.3,153,1025.8,10.3,9.2,1200,1.83,11,0.1,1.2,-0.2,-8.2
119,2017-01-31,-4.8,-10.1,0.9,,,5.7,4.1,290,1807,1.3,-12.4,30,1438,57.5,2.4,1025.1,1032,843,1027.4,1559,1029.5,10.3,8,1100,1.63,9.33,,,-1.5,-10.6
119,2017-02-01,-3.3,-7.4,2.4,,,9.6,5.4,340,1112,2.3,-12.9,24,1304,50.5,2.3,1025,1032.2,2326,1027.1,552,1029.4,10.4,9.5,1200,1.85,11.22,,,-1.8,-8
119,2017-02-02,-1.7,-9.8,4.4,,,8.3,5.1,290,1331,1.9,-10.3,26,1057,53.8,3.1,1026.4,1033.7,838,1028.6,1715,1030.8,10.4,9.5,1200,1.86,11.51,,,-2.3,-11
119,2017-02-03,1.1,-3.4,7.4,,,6.4,4,290,1508,1.2,-3.4,37,1509,75,4.8,1022.8,1029.4,924,1025.3,1521,1027.1,10.4,8.8,1200,1.52,9.92,,,-0.2,-5.4
119,2017-02-04,1.3,-4.6,4.9,,,3.3,2.3,90,1126,0.8,-3.5,52,1534,73.3,4.7,1016.8,1025.6,1,1016.3,2400,1021.1,10.5,0.4,1000,0.59,3.35,,,-0.3,-6.6
119,2017-02-05,1.8,-0.6,3.9,6.78,1.3,7.9,3.8,290,1759,1.7,-2.2,49,22,76,5.3,1009.8,1016.5,2340,1012.1,1406,1014,10.5,0,1300,0.37,2.21,,,0,-1.6
119,2017-02-06,-0.7,-3.2,3.3,,,7.8,4.6,320,530,3,-9.4,37,1440,52.3,3,1018.3,1026.5,2331,1016.4,1,1022.6,10.5,9.8,1200,1.81,11.48,,,-0.5,-3.8
119,2017-02-07,-1.5,-5.9,3.4,,,4.9,3.3,270,1659,1.3,-10.1,36,1514,52.9,2.8,1021.1,1028,818,1023.4,2400,1025.5,10.6,3.3,1200,1.36,7.43,,,-0.7,-7
119,2017-02-08,-1.6,-5.7,2.5,,,7.1,4.1,250,1607,1.5,-9.5,31,1439,56.1,3,1015.3,1023.4,1,1017,2349,1019.6,10.6,0.7,1100,1.07,6.38,,,-0.5,-7
119,2017-02-09,-4.2,-6.1,-0.9,0.33,0,10.2,6.2,270,1248,3.2,-13.6,33,1225,48.5,2.2,1012.1,1017.9,2307,1014.9,1553,1016.5,10.6,8.4,1200,1.97,10.67,,,-1.5,-6.7
119,2017-02-10,-5.5,-8.2,-1.9,0.17,0,10.5,5.7,270,1737,3.6,-15.5,31,1115,45.8,1.8,1014.6,1021.5,2341,1017.2,422,1019,10.7,9.8,1200,1.97,12.36,,,-2.6,-8.6
119,2017-02-11,-3.8,-8.2,0.2,,,8.9,5.5,250,1425,2.8,-12.9,36,1219,49.9,2.3,1020.6,1027.6,2350,1021.4,15,1025,10.7,10.2,1200,1.95,12.19,,,-2.6,-9
119,2017-02-12,-2.3,-9.1,4.2,,,7.6,5.1,250,1431,1.6,-9.7,32,1221,59.4,3,1024.8,1030.3,2356,1027.5,36,1029.2,10.7,10.2,1200,2.02,12.88,,,-2.1,-10.3
119,2017-02-13,-1.2,-7.3,4.7,3.5,1,3.9,2.6,180,1145,0.8,-4.1,46,1204,83.1,4.6,1026.4,1032.6,904,1029.4,1629,1030.8,10.8,4.3,1200,1.34,7.07,,,-1.4,-9
119,2017-02-14,0.3,-4,6.5,,,6,3.7,290,1358,1.8,-8.1,27,1420,56.8,3.4,1028.7,1034.6,949,1030.7,1,1033,10.8,10.2,1200,1.95,12.61,,,-0.5,-6.7
119,2017-02-15,0.9,-5.8,8.5,,,4.2,2.6,180,1228,0.9,-6.2,28,1648,62.4,3.9,1025.7,1033.4,1,1026.4,2355,1030.1,10.8,9.1,1200,1.66,10.49,,,-0.3,-7.4
119,2017-02-16,5.6,-4.4,12.6,2.98,0.3,8.5,5.5,250,1343,1.6,1.1,42,1019,74.4,7.1,1015.8,1026.5,3,1015.5,2348,1020,10.9,5.4,1000,1.42,7.75,,,0.6,-6.5
119,2017-02-17,1.9,-4.1,9.6,5.38,4,9.1,5.6,270,1459,3.4,-5,32,1310,63.9,4.7,1017.6,1026.4,2356,1015.1,32,1021.9,10.9,8.6,1200,2.07,12.65,,,1.1,-4.5
119,2017-02-18,-1.8,-7.2,4,,,9.3,5.5,270,1618,2.4,-12.3,21,1345,47.8,2.5,1021.8,1027.2,853,1025,1502,1026.2,11,10.3,1200,2.09,13.41,,,-0.6,-8.5
119,2017-02-19,2.3,-4.2,6.8,7.67,4.6,7.7,5,180,1227,2,-3.2,33,1347,71,5,1011.7,1025.4,24,1007.1,2352,1016,11,2,1100,1.88,6.06,,,0,-5.6
119,2017-02-20,-0.2,-4,5.5,3.83,2.2,10.2,6.4,320,1829,3.6,-8,34,1559,58.4,3.8,1013.6,1028.9,2336,1006.5,134,1017.9,11,8.5,1200,2.09,12.73,,,0.5,-4.7
119,2017-02-21,-0.5,-7.5,6.8,,,5.2,4,360,3,1.1,-11.7,21,1613,44.4,2.5,1025.2,1033.5,1000,1024.8,2358,1029.6,11.1,10,1200,2.05,13.18,,,-0.3,-8.4
119,2017-02-22,2.1,-0.1,3.5,12.57,9.1,7.9,4.8,320,2353,2.2,-1.5,37,128,80.8,5.7,1011.9,1024.7,1,1010.5,1738,1016.2,11.1,0,1200,0.41,1.78,,,0.6,-0.8
119,2017-02-23,-0.4,-3.4,3.9,,,9.7,5.9,290,1352,3.7,-8.7,31,1446,55.4,3.2,1015.3,1024.1,2354,1012.8,1,1019.6,11.1,10.5,1300,2.1,14.11,,,0.7,-4.2
119,2017-02-24,-0.2,-6.4,5,,,9,5.1,270,1514,1.7,-8.8,23,1129,55,3.2,1020.4,1026.3,807,1023.7,1709,1024.7,11.2,9.8,1200,2.12,14,,,0.4,-7.5
119,2017-02-25,1.9,-4.7,9.1,,,8.9,6.2,250,1559,1.8,-4.9,28,1554,66,4.3,1018.1,1024.5,11,1020.1,1532,1022.4,11.2,10.5,1200,2.12,14.69,,,1,-6.2
119,2017-02-26,2.4,-4,10.1,,,7.3,4.5,270,1602,1.7,-4.3,22,1355,67.1,4.5,1020.7,1027.5,2344,1022.3,3,1025,11.3,7.4,1200,2.08,12.23,,,1.7,-5.6
119,2017-02-27,2.6,-3.6,11,,,6.4,4.4,270,1701,1.2,-6.4,21,1350,55.9,3.8,1023.1,1029,832,1025.7,1511,1027.5,11.3,10.6,1200,2.1,14.07,,,1.5,-5.4
119,2017-02-28,4.4,-3.4,13,,,5.2,3.4,200,1247,1.3,-5.1,26,1432,53.9,4.2,1020.7,1027.8,145,1022.3,1644,1025,11.3,10,1200,2.07,13.62,,,2.2,-5.3
119,2017-03-01,4.7,1.1,11.5,7.78,6.2,6.8,3.8,230,1529,1.3,-2.1,29,1257,66.1,5.4,1012.6,1022.7,1,1012.9,2351,1016.8,11.4,1.8,1200,1.53,6.62,,,4.1,-0.9
119,2017-03-02,1.9,-1.8,5.6,3.58,0.3,8.4,5.5,250,1402,2.9,-3.2,50,1343,71,5,1012.1,1020.8,2355,1012.1,315,1016.4,11.4,8.9,1200,2.21,14.28,,,3.4,-4
119,2017-03-03,2.9,-3.4,11.1,,,6.7,3.9,270,1432,1.6,-4,34,1441,62.8,4.6,1016.4,1022.8,842,1018.5,1505,1020.6,11.5,10.4,1200,2.08,14,,,2.1,-5
119,2017-03-04,4.6,-2.5,12.9,,,5.9,4,270,1517,1.1,-1.7,27,1442,69,5.4,1015,1020.8,836,1017.6,1624,1019.2,11.5,10.7,1200,2.11,14.57,,,2.9,-4.4
119,2017-03-05,4.6,-0.9,11.3,3.67,1.3,6.1,4,270,1427,1.5,0.5,45,1340,78.1,6.4,1012.3,1019.4,512,1013.7,1709,1016.5,11.5,7.1,1200,1.87,11.32,,,4.2,-3
119,2017-03-06,1.2,-1.8,5.6,,,11.6,6.4,320,1710,3.5,-10.5,22,1423,43.8,2.8,1012.8,1018.5,2145,1014.4,27,1017,11.6,11,1200,2.35,15.97,,,2,-2.3
119,2017-03-07,-0.5,-2.9,2.8,,,8.7,5.4,320,450,3.5,-11.9,25,953,43.6,2.5,1012.9,1018.5,856,1015.7,1648,1017.3,11.6,11.1,1200,2.32,16.2,,,1.1,-3.7
119,2017-03-08,0.7,-5.6,6.1,0.67,0,10.4,6.4,270,1559,2.8,-8.1,27,1305,52.8,3.4,1010.9,1018.1,1,1012.5,1706,1015.2,11.7,9.2,1200,2.36,13.85,,,1.8,-7
119,2017-03-09,3.2,-3.5,10.1,,,10,6.8,270,1253,2.8,-4.7,36,1513,57.8,4.4,1009.2,1015.6,2357,1010.4,1539,1013.4,11.7,10.7,1300,2.16,14.77,,,1.9,-5.2
119,2017-03-10,4.2,-2.7,12.2,,,7.1,4.8,270,1525,1.5,-6.2,20,1644,53.5,3.9,1015.4,1022.4,2344,1015.6,1,1019.7,11.7,11,1200,2.29,15.93,,,2.3,-5.4
119,2017-03-11,5.9,-2.4,16.7,,,6.9,4.8,270,1618,1.1,-4.2,19,1454,53.5,4.6,1019.1,1025,823,1021.3,1508,1023.4,11.8,10.8,1200,2.21,15.39,,,3.3,-4.5
119,2017-03-12,7.6,1.7,15.1,,,6.7,4.4,270,1508,1.6,1.1,27,1534,67.5,6.7,1016.9,1023.9,13,1019.1,1502,1021.1,11.8,4.7,1400,1.65,10.73,,,6.3,-0.6
119,2017-03-13,6.4,1.3,12.9,,,6.7,4.3,270,1642,2.2,-1.5,28,1402,59.4,5.5,1014.4,1021.4,957,1016,1702,1018.6,11.9,10.1,1200,2.26,14.9,,,6.3,-0.2
119,2017-03-14,5.9,0.9,12.2,,,10.5,6.4,270,1644,2.9,-6.4,21,1438,42.3,3.8,1014.8,1022.1,2307,1016.9,1513,1019,11.9,11,1200,2.38,16.54,,,5,-1.4
119,2017-03-15,4.8,-1.5,12.8,,,7.5,4.9,270,1455,1.6,-5.8,25,1240,48.8,4,1019.1,1025.3,905,1021.8,1601,1023.3,11.9,11.1,1200,2.3,15.93,,,4.5,-4.1
119,2017-03-16,5,-1.8,13.3,,,6.5,4.1,270,1755,1.5,-5.6,17,1254,52.3,4.1,1017.9,1023.9,853,1019.9,1444,1022.2,12,10.5,1200,2.26,15.63,,,4.9,-4.1
119,2017-03-17,6.5,-0.7,15.9,,,6.1,4.3,290,1642,1.5,-3.8,24,1443,53.8,4.7,1019.6,1025.6,923,1021.7,1612,1023.9,12,10.3,1200,2.28,15.4,,,5.8,-3.1
119,2017-03-18,8,3.4,16.9,,,8.3,5.4,320,1429,1.7,-5.2,15,1328,43.3,4.3,1020.6,1026,909,1023.4,1444,1024.8,12.1,8.8,1300,2.29,14.63,,,7.1,1
119,2017-03-19,8.5,0.1,18.7,,,6.1,3.9,270,1654,1,-1.5,19,1549,55,5.6,1021.4,1028.6,915,1023.2,1634,1025.6,12.1,10.5,1200,2.29,15.7,,,7.7,-2
119,2017-03-20,8.9,2.9,15,,,5.4,3.2,270,1757,1.2,-0.8,26,1418,55.3,5.8,1015.1,1024.2,1,1015.7,2358,1019.3,12.1,0,1000,0.65,5.02,,,7.5,0.5
119,2017-03-21,7.5,2.8,13,,,8.9,5.3,250,1720,2.4,-1.9,32,1233,54.4,5.4,1012.5,1021.3,2356,1014.4,322,1016.7,12.2,9.3,1200,2.43,15.33,,,8.3,0.8
119,2017-03-22,6.7,0.1,13.8,,,8.6,5.2,250,1438,1.9,-4.3,24,1514,49.4,4.5,1017,1022.7,902,1019.9,1405,1021.2,12.2,9.6,1200,2.33,16.4,,,7.3,-2.5
119,2017-03-23,7.5,2.7,14.6,,,8,5,270,1328,1.8,-2.2,21,1500,54,5.3,1016.6,1022.1,852,1018,1641,1020.8,12.2,8.1,1200,2.16,14.35,,,8.1,0.5
119,2017-03-24,7.5,1.1,14.4,,,6,4.5,270,1731,1.5,-0.9,27,1616,59,5.8,1016.9,1023.3,717,1018.1,1612,1021.1,12.3,6.1,1400,1.98,12.83,,,8,-1.2
119,2017-03-25,7.2,2.3,12.4,,,8.3,5.4,270,1405,1.8,-3.4,18,1234,50.5,4.9,1015.5,1020.9,2245,1018.4,1445,1019.7,12.3,2.5,1400,1.55,10.72,,,8.7,-0.2
119,2017-03-26,6,1.9,10.9,,,7,4.6,270,1637,2,-1.2,34,1127,62.5,5.7,1014.8,1020.4,1,1017,1536,1019,12.4,3.4,1300,1.48,10.65,,,8.3,0
119,2017-03-27,6.7,3.3,12,0.17,0,11.2,5.7,290,1435,2.5,1.2,36,1301,70.9,6.7,1016.1,1022.5,2356,1018.7,1459,1020.3,12.4,4.7,1300,2.16,12.1,,,8.7,0.6
119,2017-03-28,7,2.3,13.2,,,6.4,3.9,250,1457,1.7,0.2,30,1418,65.8,6.3,1019.2,1025.5,929,1021.9,1458,1023.4,12.5,4.9,1200,1.95,12.33,,,9.3,-0.3
119,2017-03-29,7.8,1.9,14.9,,,6.3,4.3,270,1614,1.7,0.2,29,1206,62.5,6.2,1018.5,1024.5,704,1020.3,1620,1022.7,12.5,8.7,1200,2.5,15.91,,,10.1,-0.8
119,2017-03-30,8.7,0.8,17.3,,,6.8,4.9,250,1544,1.8,1.7,34,1220,66.3,6.9,1017.5,1024.5,842,1019.4,1636,1021.7,12.5,9.2,1100,2.29,15.47,,,10.3,-1.4
119,2017-03-31,8.7,5.4,12.9,5.83,1.2,7.2,5.1,70,1613,1.8,4.9,54,1128,78.6,8.7,1014.1,1020.5,59,1016.3,1603,1018.3,12.6,0.3,1000,1.32,6.15,,,9.9,4
